web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1669207103-75","https://shopee.co.id/mall/brands/11042849","Urbain Inc","https://shopee.co.id/urbaininc","","103","54% (hitungan jam)","77,8RB","4.8 (16,7RB penilaian)","3 tahun lalu","null","KOTA JAKARTA SELATAN","45%offUrbain Beanie/Kupluk Wool Hitam LogoPilih 2, bayar Rp100.000Rp100.000Rp55.000857 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Urbain-Beanie-Kupluk-Wool-Hitam-Logo-i.155156587.4563253173?sp_atk=461eb99a-c0a3-4e29-a492-fe91a1b89612&xptdk=461eb99a-c0a3-4e29-a492-fe91a1b89612","null","null","null","null","null"
"1669207129-76","https://shopee.co.id/mall/brands/11042849","Uprise","https://shopee.co.id/uprisedenim","","89","97% (hitungan jam)","80,8RB","4.9 (7,1RB penilaian)","33 bulan lalu","null","KOTA JAKARTA UTARA","UPRISE Oversize Polo Black , White , GrayDiskon Rp15RBRp179.000103 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/UPRISE-Oversize-Polo-Black-White-Gray-i.231103920.8498349348?sp_atk=9a7ec6f1-a0f1-4963-8a31-9bc39fc4c9b9&xptdk=9a7ec6f1-a0f1-4963-8a31-9bc39fc4c9b9","null","null","null","null","null"
"1669207154-77","https://shopee.co.id/mall/brands/11042849","Unxplnd","https://shopee.co.id/unxplndmarket","","159","76% (hitungan jam)","24,8RB","4.9 (5,5RB penilaian)","25 bulan lalu","null","KAB. TANGERANG","27%offUnxplnd | Beanie | Basic OG WovenRp95.000Rp69.0001,1RB TerjualKAB. TANGERANG","https://shopee.co.id/Unxplnd-Beanie-Basic-OG-Woven-i.325670631.9348232420?sp_atk=4257f6ea-2094-4c28-bb4c-516e0cdf9c0f&xptdk=4257f6ea-2094-4c28-bb4c-516e0cdf9c0f","null","null","null","null","null"
"1669207185-78","https://shopee.co.id/mall/brands/11042849","UNTCKD","https://shopee.co.id/untckd_official","","488","78% (hitungan jam)","97,1RB","4.8 (18,6RB penilaian)","7 tahun lalu","null","KOTA JAKARTA UTARA","67%offUNTCKD Quill FannypackRp150.000Rp50.000226 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/UNTCKD-Quill-Fannypack-i.1304055.3414141404?sp_atk=cfc1e2eb-8315-4ff5-99c4-ed73c80dcbc7&xptdk=cfc1e2eb-8315-4ff5-99c4-ed73c80dcbc7","null","null","null","null","null"
"1669207216-79","https://shopee.co.id/mall/brands/11042849","Uno.co","https://shopee.co.id/unoco.official","","79","97% (hitungan jam)","20,8RB","4.9 (5,6RB penilaian)","36 bulan lalu","null","KOTA JAKARTA TIMUR","9%offUno.co Kemeja Formal Office Shirt lengan pendek hitam Big Size Xl-7XlCashback 3%Rp209.000 - Rp269.000152 TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/Uno.co-Kemeja-Formal-Office-Shirt-lengan-pendek-hitam-Big-Size-Xl-7Xl-i.204790309.9576464727?sp_atk=d1c84bd4-9426-49f1-85f8-b0fe71731c81&xptdk=d1c84bd4-9426-49f1-85f8-b0fe71731c81","null","null","null","null","null"
"1669207250-80","https://shopee.co.id/mall/brands/11042849","UNKL347","https://shopee.co.id/unkl347official","","384","98% (hitungan jam)","133,1RB","4.8 (39,2RB penilaian)","4 tahun lalu","null","KOTA SURAKARTA (SOLO)","70%offUNKL347 T-Shirt Hitam Bahan Combed Motif Simpel BDTMRp260.000Rp78.0001,2RB TerjualKOTA SURAKARTA (SOLO)","https://shopee.co.id/UNKL347-T-Shirt-Hitam-Bahan-Combed-Motif-Simpel-BDTM-i.80732230.14790223061?sp_atk=2886f6a8-7609-4aaf-8643-f13ae7402913&xptdk=2886f6a8-7609-4aaf-8643-f13ae7402913","null","null","null","null","null"
"1669207277-81","https://shopee.co.id/mall/brands/11042849","Unitedhart","https://shopee.co.id/unitedhart_official","","96","75% (hitungan jam)","18,4RB","4.9 (2,9RB penilaian)","28 bulan lalu","null","KOTA BANDUNG","UH! Heavyweight Cotton 16s Pocket Tees BlackRp178.000226 TerjualKOTA BANDUNG","https://shopee.co.id/UH!-Heavyweight-Cotton-16s-Pocket-Tees-Black-i.293283681.4896740595?sp_atk=6a025f1d-e25f-48e4-ad2a-d4edc74852d0&xptdk=6a025f1d-e25f-48e4-ad2a-d4edc74852d0","null","null","null","null","null"
"1669207301-82","https://shopee.co.id/mall/brands/11042849","Unionwell","https://shopee.co.id/unionwelloriginal","","203","88% (hitungan jam)","14,7RB","4.9 (5,3RB penilaian)","3 tahun lalu","null","KOTA JAKARTA SELATAN","40%offUnionwell Tshirt Unionround Logo BlackRp300.000Rp180.000236 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Unionwell-Tshirt-Unionround-Logo-Black-i.168583478.11156284810?sp_atk=ec82cd20-ed94-4e6a-9171-5b773c9e68ed&xptdk=ec82cd20-ed94-4e6a-9171-5b773c9e68ed","null","null","null","null","null"
"1669207329-83","https://shopee.co.id/mall/brands/11042849","Underage","https://shopee.co.id/underage.indonesia","","167","89% (hitungan jam)","10,4RB","4.9 (4,7RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","54%offUnderage T-Shirt wild and free long sleve black streetwear | kaos motorDiskon Rp10RBMurah LebayRp138.600 - Rp163.350715 TerjualKOTA BANDUNG","https://shopee.co.id/Underage-T-Shirt-wild-and-free-long-sleve-black-streetwear-kaos-motor-i.199857305.4456360290?sp_atk=6c3c1f17-0f8f-470b-b60d-95429df8632b&xptdk=6c3c1f17-0f8f-470b-b60d-95429df8632b","null","null","null","null","null"
"1669207357-84","https://shopee.co.id/mall/brands/11042849","UK Unicloth Kingdom","https://shopee.co.id/uniclothkingdom","","79","62% (hitungan jam)","362","4.8 (128 penilaian)","19 bulan lalu","null","KOTA BANDUNG","50%offUK Unicloth Kingdom Tshirt Basic / Kaos Polos 24s / Kaos Polos Tanpa Jahitan SampingGrosirRp86.000Rp43.000152 TerjualKOTA BANDUNG","https://shopee.co.id/UK-Unicloth-Kingdom-Tshirt-Basic-Kaos-Polos-24s-Kaos-Polos-Tanpa-Jahitan-Samping-i.421704542.8488957170?sp_atk=02cf8785-af92-4601-b9a2-b5bee8f13dda&xptdk=02cf8785-af92-4601-b9a2-b5bee8f13dda","null","null","null","null","null"
"1669207384-85","https://shopee.co.id/mall/brands/11042849","UC&CO.","https://shopee.co.id/ucandcocanggu","","49","5%","384","4.9 (80 penilaian)","31 bulan lalu","null","KAB. BADUNG","UC&CO. Six Panel Cap Rest In ParadiseRp245.000 - Rp270.0004 TerjualKAB. BADUNG","https://shopee.co.id/UC-CO.-Six-Panel-Cap-Rest-In-Paradise-i.244561474.5929242914?sp_atk=639dbcef-379c-43ab-9656-8a733e3a24c9&xptdk=639dbcef-379c-43ab-9656-8a733e3a24c9","null","null","null","null","null"
"1669207410-86","https://shopee.co.id/mall/brands/11042849","U8","https://shopee.co.id/u8clothing","","129","68% (hitungan jam)","783","4.7 (184 penilaian)","28 bulan lalu","null","KOTA SURABAYA","60%offU8 Kemeja Motif Kirkless Navy Grey Modern Tribal KIRKLESS 1019-01Rp359.000Rp143.6003 TerjualKOTA SURABAYA","https://shopee.co.id/U8-Kemeja-Motif-Kirkless-Navy-Grey-Modern-Tribal-KIRKLESS-1019-01-i.283006103.7565395407?sp_atk=51baed2a-b645-41cc-b359-bfd33734d0b7&xptdk=51baed2a-b645-41cc-b359-bfd33734d0b7","null","null","null","null","null"
"1669207435-87","https://shopee.co.id/mall/brands/11042849","Twohead","https://shopee.co.id/twohead.official","","129","85% (hitungan jam)","19,6RB","4.8 (6,3RB penilaian)","24 bulan lalu","null","KAB. BANDUNG","59%offTwohead tshirt Depression WhiteDiskon Rp2,5RBRp180.000Rp73.8001,1RB TerjualKAB. BANDUNG","https://shopee.co.id/Twohead-tshirt-Depression-White-i.346059716.9528689078?sp_atk=6fc695a2-39a1-437f-8b9e-3ce3182ef830&xptdk=6fc695a2-39a1-437f-8b9e-3ce3182ef830","null","null","null","null","null"
"1669207460-88","https://shopee.co.id/mall/brands/11042849","Twinfit","https://shopee.co.id/twinfit_official","","184","99% (hitungan menit)","10,9RB","4.8 (2,1RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","50%offTwinfit Basic Polo ShirtPilih 3, bayar Rp250.000Rp209.000Rp104.0001,2RB TerjualKOTA BANDUNG","https://shopee.co.id/Twinfit-Basic-Polo-Shirt-i.33873300.5849880509?sp_atk=364c97d4-1d86-4404-a8ee-1d8b44d327cd&xptdk=364c97d4-1d86-4404-a8ee-1d8b44d327cd","null","null","null","null","null"
"1669207486-89","https://shopee.co.id/mall/brands/11042849","Tvck","https://shopee.co.id/tvck_cons","","333","81% (hitungan jam)","17,2RB","4.9 (1,6RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","25%offTvck Sling Bag Haqiba BlackRp155.000Rp116.250131 TerjualKOTA BANDUNG","https://shopee.co.id/Tvck-Sling-Bag-Haqiba-Black-i.158273238.5215538075?sp_atk=8c488b35-c535-471e-b6c8-732ec7d1e88d&xptdk=8c488b35-c535-471e-b6c8-732ec7d1e88d","null","null","null","null","null"
"1669207554-90","https://shopee.co.id/mall/brands/11042849","Trust Denim","https://shopee.co.id/trustdenimofficial","","88","69% (hitungan jam)","13RB","4.9 (3,6RB penilaian)","4 tahun lalu","null","KAB. BANDUNG","57%offTRUST DENIM Black Rainbow 505 Celana Denim selvedge accent  - Black Denim OriginalRp420.000Rp179.999388 TerjualKAB. BANDUNG","https://shopee.co.id/TRUST-DENIM-Black-Rainbow-505-Celana-Denim-selvedge-accent-Black-Denim-Original-i.79588850.2107775561?sp_atk=444ff9cc-e3d5-419f-84c4-52e653947321&xptdk=444ff9cc-e3d5-419f-84c4-52e653947321","null","null","null","null","null"
"1669207596-91","https://shopee.co.id/mall/brands/11042849","Troy.","https://shopee.co.id/troycompany","","681","97% (hitungan jam)","93,8RB","4.8 (43,3RB penilaian)","4 tahun lalu","null","KAB. SLEMAN","Troy Company Gelang Tangan Black GL 106Rp10.0007,2RB TerjualKAB. SLEMAN","https://shopee.co.id/Troy-Company-Gelang-Tangan-Black-GL-106-i.132593038.4131694080?sp_atk=582d04c8-017c-4a0b-8e32-d97150d02dda&xptdk=582d04c8-017c-4a0b-8e32-d97150d02dda","null","null","null","null","null"
"1669207631-92","https://shopee.co.id/mall/brands/11042849","Troveast","https://shopee.co.id/troveast","","90","84% (hitungan jam)","256RB","4.6 (215,5RB penilaian)","6 tahun lalu","null","KOTA TANGERANG","44%offTroveast Jaket Outdoor WaterproofDiskon Rp20RBMurah LebayRp300.000Rp169.00010RB+ TerjualKOTA TANGERANG","https://shopee.co.id/Troveast-Jaket-Outdoor-Waterproof-i.7791565.41661639?sp_atk=7e57d621-3ae0-4f75-8e2a-be4b9a8f907d&xptdk=7e57d621-3ae0-4f75-8e2a-be4b9a8f907d","null","null","null","null","null"
"1669207669-93","https://shopee.co.id/mall/brands/11042849","Trousary","https://shopee.co.id/trousaryofficial","","43","100% (hitungan menit)","3,6RB","4.8 (4,9RB penilaian)","3 tahun lalu","null","KAB. BANDUNG","39%offTrousary Sweater  Hoodie Zipper / Sleting Original Size S M L XL XXLDiskon 50%Rp85.000 - Rp130.0001,1RB TerjualKAB. BANDUNG","https://shopee.co.id/Trousary-Sweater-Hoodie-Zipper-Sleting-Original-Size-S-M-L-XL-XXL-i.180630585.5372680447?sp_atk=30513fe7-ecc2-4b2f-b458-e5841ae7e254&xptdk=30513fe7-ecc2-4b2f-b458-e5841ae7e254","null","null","null","null","null"
"1669207695-94","https://shopee.co.id/mall/brands/11042849","Trondheim","https://shopee.co.id/trondheimoriginal","","175","96% (hitungan jam)","19,3RB","4.8 (26,9RB penilaian)","4 tahun lalu","null","KOTA CIMAHI","74%offTrondheim Celana Jeans Slim Fit PriaRp120.000 - Rp139.0005,7RB TerjualKOTA CIMAHI","https://shopee.co.id/Trondheim-Celana-Jeans-Slim-Fit-Pria-i.119232628.2200142141?sp_atk=ba074b5a-15e4-4aef-bb39-a953872af8d3&xptdk=ba074b5a-15e4-4aef-bb39-a953872af8d3","null","null","null","null","null"
"1669207725-95","https://shopee.co.id/mall/brands/11042849","Triple","https://shopee.co.id/triplejeans","","462","85% (hitungan jam)","30,6RB","4.8 (12,3RB penilaian)","3 tahun lalu","null","KOTA SURABAYA","60%offTRIPLE Ladies Celana Jeans Stretch Slim Fit (94 777 GW)Diskon Rp7RBRp425.000Rp170.000695 TerjualKOTA SURABAYA","https://shopee.co.id/TRIPLE-Ladies-Celana-Jeans-Stretch-Slim-Fit-(94-777-GW)-i.175328065.6419139281?sp_atk=c83ab3a9-c569-43db-a328-6265ca87228a&xptdk=c83ab3a9-c569-43db-a328-6265ca87228a","null","null","null","null","null"
"1669207751-96","https://shopee.co.id/mall/brands/11042849","trepel","https://shopee.co.id/trepel.co","","38","78% (hitungan jam)","646","4.8 (424 penilaian)","7 bulan lalu","null","KOTA BANDUNG","27%offTrepel.Co Celana Cargo Pendek Warna Abu Muda Free Gantungan KunciDiskon Rp2RBPilih 3, diskon Rp5.000Rp124.700 - Rp175.000221 TerjualKOTA BANDUNG","https://shopee.co.id/Trepel.Co-Celana-Cargo-Pendek-Warna-Abu-Muda-Free-Gantungan-Kunci-i.754871962.19724584257?sp_atk=dcf203f4-2e9a-4d32-ba59-44c180ba4533&xptdk=dcf203f4-2e9a-4d32-ba59-44c180ba4533","null","null","null","null","null"
"1669207780-97","https://shopee.co.id/mall/brands/11042849","Tozicozy","https://shopee.co.id/tozicozy","","174","98% (hitungan jam)","23,8RB","4.8 (8,3RB penilaian)","4 tahun lalu","null","KAB. BANDUNG","Tozicozy Zein Tas Sling Bag Pria Warna Hitam Waterproof Bahan BimoDiskon 50%Hadiah GratisRp159.000349 TerjualKAB. BANDUNG","https://shopee.co.id/Tozicozy-Zein-Tas-Sling-Bag-Pria-Warna-Hitam-Waterproof-Bahan-Bimo-i.130851767.7894154586?sp_atk=08b5f101-925f-49da-ab94-fd9915437be5&xptdk=08b5f101-925f-49da-ab94-fd9915437be5","null","null","null","null","null"
"1669207806-98","https://shopee.co.id/mall/brands/11042849","TOPTEN","https://shopee.co.id/toptenofficial","","208","88% (hitungan jam)","11,9RB","4.7 (1,9RB penilaian)","4 tahun lalu","null","KOTA SURABAYA","49%offTOPTEN Celana Dalam Pria Boxer Premium Topten SportDiskon 10%Rp99.000Rp49.999687 TerjualKOTA SURABAYA","https://shopee.co.id/TOPTEN-Celana-Dalam-Pria-Boxer-Premium-Topten-Sport-i.96058796.6010357260?sp_atk=9a07917a-865d-4cd5-96ab-f8b44cb41ad9&xptdk=9a07917a-865d-4cd5-96ab-f8b44cb41ad9","null","null","null","null","null"
"1669207834-99","https://shopee.co.id/mall/brands/11042849","TopOne88","https://shopee.co.id/topone88","","293","98% (hitungan jam)","105RB","4.7 (150,9RB penilaian)","6 tahun lalu","null","KOTA JAKARTA BARAT","40%offTopone88 Jaket Royal Hoodie Zipper Anak Laki Perempuan UnisexMurah LebayRp100.000Rp60.00010RB+ TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Topone88-Jaket-Royal-Hoodie-Zipper-Anak-Laki-Perempuan-Unisex-i.19222953.784901261?sp_atk=8aa4b8db-b13c-40b4-9da9-39ed9051d52f&xptdk=8aa4b8db-b13c-40b4-9da9-39ed9051d52f","null","null","null","null","null"
"1669207867-100","https://shopee.co.id/mall/brands/11042849","Tootsie","https://shopee.co.id/tootsie.official","","61","87% (hitungan jam)","3,9RB","4.9 (777 penilaian)","8 bulan lalu","null","KOTA BANDUNG","TOOTSIE - Caen T-Shirt -  AdultRp169.900242 TerjualKOTA BANDUNG","https://shopee.co.id/TOOTSIE-Caen-T-Shirt-Adult-i.737806720.17560654763?sp_atk=35286096-f007-4012-b3d4-158a13bba5c7&xptdk=35286096-f007-4012-b3d4-158a13bba5c7","null","null","null","null","null"
"1669207937-101","https://shopee.co.id/mall/brands/11042849","Tootal Underwear","https://shopee.co.id/tootal.official","","24","26% (hitungan jam)","294","4.9 (255 penilaian)","24 bulan lalu","null","KOTA TANGERANG SELATAN","Tootal Celana Dalam Pria Mini Brief 3 Warna / pack - TTOB03M3CRp89.90030 TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Tootal-Celana-Dalam-Pria-Mini-Brief-3-Warna-pack-TTOB03M3C-i.338429743.5567484831?sp_atk=9348821f-1be0-4de7-8b4a-f20f2c2e516d&xptdk=9348821f-1be0-4de7-8b4a-f20f2c2e516d","null","null","null","null","null"
"1669207991-102","https://shopee.co.id/mall/brands/11042849","Tootal","https://shopee.co.id/tootal","","83","62% (hitungan jam)","534","4.9 (197 penilaian)","5 tahun lalu","null","KOTA JAKARTA TIMUR","50%offTootal Kemeja Pria Lengan Panjang Stripe 272 BlueDiskon 50%Rp688.000Rp344.00012 TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/Tootal-Kemeja-Pria-Lengan-Panjang-Stripe-272-Blue-i.39412025.7941584422?sp_atk=02df9a3c-87dd-4384-a896-dfbf60583ef7&xptdk=02df9a3c-87dd-4384-a896-dfbf60583ef7","null","null","null","null","null"
"1669208070-103","https://shopee.co.id/mall/brands/11042849","TOMS PROJECT","https://shopee.co.id/tomsproject.id","","159","92% (hitungan jam)","39RB","4.8 (11,9RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","63%offToms Project Tshirt Saint Muerte - Kaos PriaPilih 3, bayar Rp195.000Rp185.000Rp69.0002,8RB TerjualKOTA BANDUNG","https://shopee.co.id/Toms-Project-Tshirt-Saint-Muerte-Kaos-Pria-i.55255133.3297105846?sp_atk=cb7ff0e9-a0ef-4131-ac97-cea5fe7ffd40&xptdk=cb7ff0e9-a0ef-4131-ac97-cea5fe7ffd40","null","null","null","null","null"
"1669208198-104","https://shopee.co.id/mall/brands/11042849","Tokocrypto","https://shopee.co.id/tokocrypto_official","","21","47%","43","5.0 (4 penilaian)","11 bulan lalu","null","KOTA JAKARTA SELATAN","Tokocrypto - Astronauts Skate Black - Size MRp180.0002 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Tokocrypto-Astronauts-Skate-Black-Size-M-i.637852336.19844837626?sp_atk=9bb799c0-7b9d-4fc9-ac0d-328de1824900&xptdk=9bb799c0-7b9d-4fc9-ac0d-328de1824900","null","null","null","null","null"
"1669208239-105","https://shopee.co.id/mall/brands/11042849","TNGR","https://shopee.co.id/tngrdeadly","","650","76% (hitungan jam)","28,4RB","4.8 (9,6RB penilaian)","5 tahun lalu","null","KAB. SLEMAN","55%offTNGR Deadly T-Shirt ZHOCX Blue TeesDiskon Rp7,77RBRp165.000Rp75.000212 TerjualKAB. SLEMAN","https://shopee.co.id/TNGR-Deadly-T-Shirt-ZHOCX-Blue-Tees-i.38323773.8642501922?sp_atk=ec109f47-172a-4c4b-90c6-57ec90000dd9&xptdk=ec109f47-172a-4c4b-90c6-57ec90000dd9","null","null","null","null","null"
"1669208268-106","https://shopee.co.id/mall/brands/11042849","Tizzly","https://shopee.co.id/tizzly.co","","13","88% (hitungan jam)","3,9RB","4.8 (2RB penilaian)","29 bulan lalu","null","KOTA CIMAHI","35%offTizzly Avernus Varian2Rp187.850 - Rp203.550396 TerjualKOTA CIMAHI","https://shopee.co.id/Tizzly-Avernus-Varian2-i.279384362.3260542535?sp_atk=396ed2f9-7676-4c65-946a-f859663d3110&xptdk=396ed2f9-7676-4c65-946a-f859663d3110","null","null","null","null","null"
"1669208297-107","https://shopee.co.id/mall/brands/11042849","Tirajeans","https://shopee.co.id/tirajeansofficial","","439","60% (hitungan jam)","31,7RB","4.8 (8,5RB penilaian)","5 tahun lalu","null","KOTA BEKASI","25%offTirajeans T-Shirts L/S TTL205K40004S21 BlackDiskon Rp20RBRp179.900Rp134.925224 TerjualKOTA BEKASI","https://shopee.co.id/Tirajeans-T-Shirts-L-S-TTL205K40004S21-Black-i.55934463.8148573584?sp_atk=2f721fdf-eae2-47c2-8483-4a495098ea76&xptdk=2f721fdf-eae2-47c2-8483-4a495098ea76","null","null","null","null","null"
"1669208322-108","https://shopee.co.id/mall/brands/11042849","TIMONOSD","https://shopee.co.id/timonosd.co","","313","58% (hitungan jam)","60,5RB","4.7 (18,5RB penilaian)","5 tahun lalu","null","KOTA TANGERANG SELATAN","Timonosd Crewneck Tmnsd “Had “Rp210.000544 TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Timonosd-Crewneck-Tmnsd-%E2%80%9CHad-%E2%80%9C-i.51123839.3841831780?sp_atk=3ccecea5-a37d-46db-b24f-e52f9bd0193c&xptdk=3ccecea5-a37d-46db-b24f-e52f9bd0193c","null","null","null","null","null"
"1669208352-109","https://shopee.co.id/mall/brands/11042849","Timberland","https://shopee.co.id/timberlandofficial","","897","100% (hitungan jam)","32RB","4.9 (1,6RB penilaian)","32 bulan lalu","null","KOTA TANGERANG SELATAN","5%offTimberland Women 6In Prem Boot Wheat Nubuck-TB010361713Diskon Rp25RBRp3.600.500 - Rp3.790.00016 TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Timberland-Women-6In-Prem-Boot-Wheat-Nubuck-TB010361713-i.240533996.7638556753?sp_atk=5129bd0c-b7ff-4639-a703-2e237c7d0653&xptdk=5129bd0c-b7ff-4639-a703-2e237c7d0653","null","null","null","null","null"
"1669208377-110","https://shopee.co.id/mall/brands/11042849","Tightless","https://shopee.co.id/tightless","","25","57%","341","4.7 (35 penilaian)","23 bulan lalu","null","KOTA BANDUNG","62%offTightless Sweater Pullover Hoodie LethargyRp449.000Rp169.0008 TerjualKOTA BANDUNG","https://shopee.co.id/Tightless-Sweater-Pullover-Hoodie-Lethargy-i.362960731.3483261058?sp_atk=98125f87-2e08-42e1-b1db-e7e9895819da&xptdk=98125f87-2e08-42e1-b1db-e7e9895819da","null","null","null","null","null"
"1669208403-111","https://shopee.co.id/mall/brands/11042849","Throox","https://shopee.co.id/throoxoriginal","","378","97% (hitungan jam)","146,2RB","4.8 (48,3RB penilaian)","4 tahun lalu","null","KAB. SUKOHARJO","49%offThroox T-Shirt kaos hitam ||THRX Good Smilow BlackDiskon Rp5RBPilih 3, bayar Rp250.000Rp175.000Rp89.0001,6RB TerjualKAB. SUKOHARJO","https://shopee.co.id/Throox-T-Shirt-kaos-hitam-THRX-Good-Smilow-Black-i.118571446.7526533289?sp_atk=33371e29-b70f-400b-8225-246bd48992b8&xptdk=33371e29-b70f-400b-8225-246bd48992b8","null","null","null","null","null"
"1669208428-112","https://shopee.co.id/mall/brands/11042849","Thistimebrand","https://shopee.co.id/thistimebrand","","1,2RB","94% (hitungan jam)","83,7RB","4.7 (24,1RB penilaian)","4 tahun lalu","null","KOTA BEKASI","This Time Brand Paket Hemat Murah Meriah , Geser Ke KananDiskon Rp1RBKombo HematRp200.000600 TerjualKOTA BEKASI","https://shopee.co.id/This-Time-Brand-Paket-Hemat-Murah-Meriah-Geser-Ke-Kanan-i.86409600.6045631676?sp_atk=a65e129a-8261-410e-a457-5754b5dc6b63&xptdk=a65e129a-8261-410e-a457-5754b5dc6b63","null","null","null","null","null"
"1669208462-113","https://shopee.co.id/mall/brands/11042849","This is April","https://shopee.co.id/thisisapril","","951","99% (hitungan jam)","755,9RB","4.9 (108,4RB penilaian)","5 tahun lalu","null","KOTA JAKARTA UTARA","This Is April Taya Pants Celana Jeans Wanita Light Denim 281814Diskon Rp10RBRp259.0001,2RB TerjualKOTA JAKARTA UTARA","https://shopee.co.id/This-Is-April-Taya-Pants-Celana-Jeans-Wanita-Light-Denim-281814-i.60731464.4235233138?sp_atk=085ba510-c531-4ca6-904d-9f520605f36d&xptdk=085ba510-c531-4ca6-904d-9f520605f36d","null","null","null","null","null"
